,sectionid,sectionName,date,webTitle,weburl
85,world,World news,2022-02-02 12:47:21+00:00,Kremlin calls Boris Johnson’s Ukraine diplomacy efforts ‘utterly confused’,https://www.theguardian.com/world/2022/feb/02/kremlin-call-boris-johnson-ukraine-diplomacy-effort-utterly-confused-protect-russian-invasion
86,world,World news,2022-01-31 18:35:31+00:00,Liz Truss vows ‘nowhere to hide’ for Putin allies if Ukraine invaded,https://www.theguardian.com/world/2022/jan/31/liz-truss-vows-nowhere-to-hide-for-putin-allies-if-ukraine-invaded
87,world,World news,2022-02-01 19:18:53+00:00,"Russian invasion of Ukraine would be a disaster, says Boris Johnson in Kyiv",https://www.theguardian.com/world/2022/feb/01/russian-invasion-of-ukraine-would-be-a-disaster-says-boris-johnson-in-kyiv
88,politics,Politics,2022-02-04 12:17:52+00:00,Ministers accused of failing to stem flow of Russian ‘dirty money’ into UK,https://www.theguardian.com/politics/2022/feb/04/ministers-accused-of-failing-to-stem-flow-of-russian-money-into-uk
89,politics,Politics,2022-01-23 18:22:52+00:00,No 10 casts Johnson as head of anti-Russian alliance over Ukraine,https://www.theguardian.com/politics/2022/jan/23/no-10-casts-boris-johnson-as-head-of-anti-russian-alliance-over-ukraine
90,world,World news,2022-02-20 09:30:06+00:00,Starmer: Russians hide cash in ‘soft touch’ UK,https://www.theguardian.com/world/2022/feb/20/starmer-russians-hide-cash-in-soft-touch-uk
91,tv-and-radio,Television & radio,2022-04-11 16:56:12+00:00,"Ministers are old enough, but not wise enough to go it alone | Brief letters ",https://www.theguardian.com/tv-and-radio/2022/apr/11/ministers-are-old-enough-but-not-wise-enough-to-go-it-alone
92,politics,Politics,2022-10-06 13:18:10+00:00,Rancour gives way to nervous optimism over Northern Ireland protocol,https://www.theguardian.com/politics/2022/oct/06/rancour-gives-way-optimism-northern-ireland-protocol-liz-truss-brexit-analysis
93,commentisfree,Opinion,2022-10-06 17:46:34+00:00,The Guardian view on Liz Truss and Europe: a first fragile step | Editorial,https://www.theguardian.com/commentisfree/2022/oct/06/the-guardian-view-on-liz-truss-and-europe-a-first-fragile-step
94,uk-news,UK news,2022-10-11 08:59:00+00:00,"No signs Russia is preparing to use nuclear weapon, says GCHQ boss",https://www.theguardian.com/uk-news/2022/oct/11/russia-use-nuclear-weapons-gchq-putin
95,world,World news,2022-10-27 17:07:55+00:00,Putin attempts to back up claim dirty bomb could be used against Russia troops,https://www.theguardian.com/world/2022/oct/27/vladimir-putin-says-dirty-bomb-claims-to-nato-were-made-on-his-orders
96,world,World news,2022-08-23 16:47:03+00:00,Britain must wake up before this war reaches our shores | Letters,https://www.theguardian.com/world/2022/aug/23/britain-must-wake-up-before-this-war-reaches-our-shores
97,world,World news,2022-03-02 17:26:00+00:00,How the west’s foreign policy of self-interest crumbled | Letters,https://www.theguardian.com/world/2022/mar/02/how-the-wests-foreign-policy-of-self-interest-crumbled
98,commentisfree,Opinion,2022-02-28 15:55:58+00:00,Sanctions don’t work – serious diplomacy is the only way to stop Putin | Simon Jenkins,https://www.theguardian.com/commentisfree/2022/feb/28/sanctions-dont-work-diplomacy-stop-putin-russia-ukraine
99,commentisfree,Opinion,2022-02-24 19:00:54+00:00,The Guardian view on Putin’s war in Ukraine: a bleak new beginning | Editorial,https://www.theguardian.com/commentisfree/2022/feb/24/the-guardian-view-on-putins-war-in-ukraine-a-bleak-new-beginning
100,commentisfree,Opinion,2022-02-24 18:59:58+00:00,The Guardian view on Britain and Ukraine: play our part | Editorial,https://www.theguardian.com/commentisfree/2022/feb/24/the-guardian-view-on-britain-and-ukraine-play-our-part
101,commentisfree,Opinion,2022-02-24 16:40:54+00:00,Can anyone in Russia stop Putin now? | Angus Roxburgh,https://www.theguardian.com/commentisfree/2022/feb/24/ukraine-russia-vladimir-putin-kremlin
102,world,World news,2022-02-24 11:25:34+00:00,Boris Johnson to respond to Russian invasion with ‘overwhelming’ sanctions ,https://www.theguardian.com/world/2022/feb/24/uk-will-respond-decisively-to-russia-attack-on-ukraine-vows-boris-johnson
103,politics,Politics,2022-03-09 17:33:50+00:00,"A round of applause, the zero-risk gesture | Brief letters",https://www.theguardian.com/politics/2022/mar/09/a-round-of-applause-the-zero-risk-gesture
104,commentisfree,Opinion,2022-02-22 14:41:32+00:00,"As Putin’s tanks roll into Ukraine, he knows exactly who to feel sorry for: himself | Marina Hyde",https://www.theguardian.com/commentisfree/2022/feb/22/putin-tanks-ukraine-russian-leader
105,commentisfree,Opinion,2022-02-23 18:46:38+00:00,The Guardian view on the Ukraine crisis: calling time on Londongrad | Editorial,https://www.theguardian.com/commentisfree/2022/feb/23/the-guardian-view-on-the-ukraine-crisis-calling-time-on-londongrad
106,commentisfree,Opinion,2022-02-23 12:59:24+00:00,Forget the obsession with sanctions against oligarchs. I have a better way to hurt Putin | Angus Roxburgh,https://www.theguardian.com/commentisfree/2022/feb/23/obsession-sanctions-oligarchs-putin-hurt-russian-leader-ukraine
107,world,World news,2022-02-23 09:52:10+00:00,"UK will stop Russia selling sovereign debt in London, says Liz Truss",https://www.theguardian.com/world/2022/feb/23/uk-russia-ukraine-liz-truss
108,commentisfree,Opinion,2022-02-22 18:43:26+00:00,These pathetic sanctions won’t hurt Putin. He’ll be laughing all the way to his dacha | Chris Bryant,https://www.theguardian.com/commentisfree/2022/feb/22/vladimir-putin-ukraine-sanctions-boris-johnson
109,commentisfree,Opinion,2022-03-04 14:23:22+00:00,"Just when No 10 wants to be taken seriously, it creates Sir Gavin Williamson | Marina Hyde",https://www.theguardian.com/commentisfree/2022/mar/04/no-10-sir-gavin-williamson-knighthood-boris-johnson-putin-cronies
110,world,World news,2022-03-07 23:42:24+00:00,Just 300 Ukrainian refugees granted visas to come to the UK,https://www.theguardian.com/world/2022/mar/07/ukrainians-hampered-by-bureaucracy-from-reaching-safety-in-uk
111,commentisfree,Opinion,2022-03-02 16:00:43+00:00,We must confront Russian propaganda – even when it comes from those we respect | George Monbiot,https://www.theguardian.com/commentisfree/2022/mar/02/russian-propaganda-anti-imperialist-left-vladimir-putin
112,politics,Politics,2022-02-01 14:22:11+00:00,Johnson-Putin call rescheduled as PM’s diplomacy drive falters,https://www.theguardian.com/politics/2022/feb/01/boris-johnson-rebuffed-in-bid-to-play-key-role-in-ukraine-diplomacy
113,commentisfree,Opinion,2022-02-01 16:00:02+00:00,Britain’s failure to tackle Russian dirty money has enabled Putin’s aggression | Nicola Sturgeon,https://www.theguardian.com/commentisfree/2022/feb/01/ukraine-russia-vladimir-putin-boris-johnson-dirty-money
114,commentisfree,Opinion,2022-09-30 14:47:36+00:00,A new series immerses us in Russia’s 90s trauma – and the human cost of economic shock | Marina Hyde,https://www.theguardian.com/commentisfree/2022/sep/30/new-series-russia-90s-adam-curtis-bbc-films-traumazone
115,world,World news,2022-08-31 17:18:34+00:00,Gorbachev was let down by the west. Putin’s Russia is the result | Letters,https://www.theguardian.com/world/2022/aug/31/gorbachev-was-let-down-by-the-west-putins-russia-is-the-result
116,uk-news,UK news,2022-11-16 13:46:43+00:00,MI5 chief: UK will have to tackle Russian aggression ‘for years to come’,https://www.theguardian.com/uk-news/2022/nov/16/mi5-chief-uk-will-have-to-tackle-russian-aggression-for-years-to-come
